project_type,planned_duration,contract_value_lkr,project_size,labourers_count,material_availability,weather_condition,is_delayed,delay_days
Residential,485,85.77,Medium,74,High,Rainy,0,0
Residential,504,95.77,Medium,34,Medium,Clear,0,0
Infrastructure,357,637.16,Large,78,Low,Rainy,1,170
Commercial,499,339.16,Large,122,Low,Rainy,0,0
Residential,95,11.38,Small,15,Medium,Clear,0,0
Residential,143,39.74,Small,19,High,Clear,0,0
Residential,511,52.36,Medium,63,High,Rainy,1,186
Residential,433,75.35,Medium,54,High,Clear,0,0
Infrastructure,322,272.61,Large,140,Medium,Rainy,0,0
Commercial,369,183.2,Medium,54,High,Clear,0,0
Infrastructure,444,752.08,Large,78,Low,Rainy,1,124
Commercial,231,128.4,Medium,39,High,Clear,1,103
Residential,435,57.91,Medium,55,High,Clear,0,0
Infrastructure,232,440.28,Large,94,Medium,Clear,1,44
Infrastructure,421,368.85,Large,91,Medium,Rainy,0,0
Commercial,106,72.18,Medium,67,High,Monsoon,0,0
Infrastructure,438,1055.27,Large,103,High,Monsoon,1,99
Commercial,200,93.98,Medium,59,Medium,Clear,0,0
Commercial,434,242.44,Large,83,High,Rainy,0,0
Commercial,465,227.6,Large,120,High,Clear,0,0
Residential,177,17.94,Small,21,Low,Clear,0,0
Residential,336,59.53,Medium,26,Medium,Clear,0,0
Residential,273,70.53,Medium,62,High,Rainy,0,0
Commercial,279,166.84,Medium,69,Low,Clear,0,0
Residential,452,54.35,Medium,20,Low,Clear,1,209
Commercial,85,61.5,Medium,54,Medium,Rainy,1,21
Industrial,68,80.95,Medium,51,Medium,Rainy,0,0
Residential,330,88.55,Medium,55,Low,Clear,1,89
Commercial,69,40.72,Small,17,Low,Clear,0,0
Infrastructure,531,930.03,Large,129,Medium,Clear,1,86
Residential,437,52.9,Medium,33,High,Clear,1,160
Residential,180,24.02,Small,9,Medium,Rainy,1,67
Residential,184,54.17,Medium,67,Medium,Clear,0,0
Residential,229,33.36,Small,19,High,Rainy,0,0
Industrial,131,231.96,Large,170,High,Monsoon,1,46
Infrastructure,211,359.6,Large,127,Low,Clear,1,114
Commercial,267,98.23,Medium,59,Medium,Monsoon,1,67
Infrastructure,108,104.63,Medium,35,High,Clear,1,19
Infrastructure,213,246.03,Large,151,Medium,Clear,1,71
Residential,406,115.76,Medium,35,High,Clear,0,0
Infrastructure,352,529.43,Large,121,High,Clear,0,0
Commercial,127,63.21,Medium,23,Medium,Clear,0,0
Infrastructure,109,145.24,Medium,64,High,Clear,1,39
Infrastructure,211,221.55,Large,149,High,Rainy,1,37
Residential,78,15.41,Small,17,Low,Monsoon,1,14
Residential,159,20.04,Small,6,High,Rainy,0,0
Residential,119,31.78,Small,7,High,Clear,0,0
Commercial,226,109.65,Medium,73,Low,Rainy,0,0
Infrastructure,261,375.1,Large,67,Medium,Rainy,1,100
Infrastructure,404,648.75,Large,83,Medium,Rainy,1,178
Residential,205,38.71,Small,19,Low,Rainy,0,0
Commercial,462,368.41,Large,102,High,Monsoon,1,180
Commercial,223,127.71,Medium,50,Medium,Clear,1,43
Residential,517,60.82,Medium,28,Medium,Rainy,0,0
Residential,498,110.24,Medium,58,Low,Clear,1,279
Residential,301,39.23,Small,17,Medium,Monsoon,1,149
Industrial,128,69.15,Medium,21,Medium,Clear,1,35
Residential,234,68.83,Medium,27,Medium,Clear,0,0
Commercial,108,74.17,Medium,26,Medium,Clear,1,41
Infrastructure,167,411.85,Large,179,Medium,Rainy,1,64
Residential,285,55.74,Medium,63,Medium,Clear,0,0
Industrial,220,262.23,Large,174,Medium,Clear,0,0
Industrial,178,127.95,Medium,58,Medium,Monsoon,1,91
Residential,208,31.07,Small,14,Medium,Monsoon,0,0
Commercial,524,376.9,Large,116,Medium,Clear,1,206
Residential,209,35.79,Small,20,Low,Clear,0,0
Residential,491,130.29,Medium,54,Medium,Monsoon,1,191
Residential,352,85.11,Medium,49,Low,Monsoon,1,159
Commercial,202,78.49,Medium,29,Low,Clear,1,66
Commercial,478,264.68,Large,161,Medium,Rainy,0,0
Residential,535,125.98,Medium,37,Medium,Clear,0,0
Residential,514,75.56,Medium,69,Low,Rainy,1,205
Industrial,219,346.0,Large,128,Medium,Rainy,1,82
Residential,70,14.63,Small,11,Low,Clear,1,38
Residential,197,26.21,Small,6,Medium,Clear,0,0
Commercial,516,305.21,Large,102,Medium,Monsoon,1,163
Industrial,137,246.55,Large,104,High,Rainy,0,0
Residential,136,17.69,Small,9,High,Clear,0,0
Commercial,500,354.19,Large,153,Low,Rainy,1,187
Infrastructure,313,360.71,Large,65,Medium,Rainy,1,80
Residential,468,120.03,Medium,65,Medium,Clear,1,156
Infrastructure,317,649.46,Large,167,Low,Rainy,1,126
Residential,379,60.68,Medium,23,Medium,Rainy,0,0
Commercial,350,162.02,Medium,48,Medium,Monsoon,1,44
Commercial,322,224.2,Large,82,Medium,Clear,0,0
Commercial,144,76.42,Medium,25,Medium,Clear,0,0
Residential,205,50.46,Medium,51,High,Clear,0,0
Infrastructure,382,401.7,Large,165,Medium,Rainy,1,110
Residential,101,27.32,Small,22,Medium,Rainy,0,0
Residential,433,104.86,Medium,34,High,Monsoon,1,68
Residential,184,51.78,Medium,59,Medium,Rainy,0,0
Commercial,226,82.76,Medium,51,High,Clear,0,0
Commercial,484,288.71,Large,132,High,Monsoon,0,0
Residential,300,65.95,Medium,56,High,Clear,1,32
Commercial,518,246.95,Large,133,High,Monsoon,0,0
Residential,339,64.98,Medium,39,Medium,Clear,0,0
Commercial,247,78.79,Medium,25,Low,Rainy,0,0
Residential,361,89.95,Medium,67,Medium,Rainy,0,0
Commercial,78,44.82,Small,7,High,Rainy,0,0
Residential,127,14.17,Small,14,High,Clear,0,0
Industrial,277,383.64,Large,70,High,Clear,1,104
Residential,161,31.13,Small,15,Medium,Rainy,1,30
Residential,101,10.8,Small,21,High,Monsoon,1,26
Residential,347,101.99,Medium,51,Medium,Clear,0,0
Industrial,226,391.85,Large,63,High,Monsoon,1,33
Infrastructure,168,280.88,Large,122,Low,Clear,1,34
Residential,95,11.28,Small,8,High,Clear,0,0
Commercial,291,197.1,Medium,36,High,Rainy,1,107
Infrastructure,288,471.25,Large,100,Low,Rainy,1,98
Commercial,412,185.9,Medium,38,High,Monsoon,1,201
Commercial,223,121.69,Medium,24,High,Rainy,0,0
Residential,446,91.2,Medium,51,Medium,Clear,0,0
Residential,132,28.06,Small,10,Medium,Clear,0,0
Infrastructure,195,302.27,Large,94,Medium,Clear,0,0
Industrial,412,530.44,Large,81,High,Clear,1,98
Commercial,438,332.6,Large,124,High,Rainy,1,84
Residential,129,22.25,Small,24,High,Clear,0,0
Residential,484,118.65,Medium,41,High,Clear,0,0
Infrastructure,255,591.75,Large,171,Low,Clear,1,70
Infrastructure,328,516.65,Large,178,Medium,Clear,0,0
Infrastructure,108,167.82,Medium,30,High,Clear,0,0
Infrastructure,375,683.85,Large,136,Medium,Monsoon,1,157
Commercial,189,112.59,Medium,61,High,Rainy,0,0
Residential,503,131.44,Medium,22,Low,Rainy,1,185
Residential,64,12.5,Small,13,High,Rainy,0,0
Infrastructure,487,1214.29,Large,119,High,Clear,1,202
Commercial,86,28.36,Small,16,Medium,Monsoon,1,32
Residential,219,22.04,Small,18,Medium,Clear,1,59
Residential,208,47.43,Small,5,Medium,Clear,0,0
Commercial,323,145.1,Medium,37,High,Rainy,0,0
Residential,289,42.79,Small,21,High,Clear,0,0
Residential,259,42.06,Small,13,Medium,Rainy,1,97
Commercial,109,46.65,Small,13,High,Clear,0,0
Commercial,126,39.74,Small,14,Low,Rainy,1,67
Commercial,359,282.09,Large,142,High,Clear,0,0
Residential,440,63.43,Medium,66,Medium,Clear,0,0
Infrastructure,117,239.6,Large,128,Medium,Rainy,0,0
Residential,318,80.3,Medium,66,High,Clear,0,0
Residential,401,114.63,Medium,71,Medium,Clear,1,90
Infrastructure,385,327.99,Large,146,Low,Clear,1,90
Commercial,189,139.11,Medium,49,High,Rainy,0,0
Infrastructure,274,464.78,Large,84,Low,Rainy,1,108
Commercial,231,142.36,Medium,47,Medium,Clear,0,0
Commercial,317,197.25,Medium,53,High,Monsoon,0,0
Residential,161,42.5,Small,17,High,Monsoon,1,53
Residential,268,44.67,Small,20,High,Rainy,0,0
Residential,350,86.31,Medium,66,Medium,Rainy,0,0
Residential,413,84.96,Medium,44,Medium,Clear,0,0
Industrial,530,811.65,Large,133,Low,Rainy,1,295
Residential,345,102.85,Medium,33,Low,Clear,1,112
Infrastructure,175,199.69,Medium,61,Medium,Clear,0,0
Commercial,323,257.54,Large,169,Medium,Monsoon,0,0
Infrastructure,209,199.11,Medium,49,High,Rainy,0,0
Commercial,359,108.12,Medium,74,Medium,Clear,1,45
Commercial,501,161.36,Medium,60,High,Clear,0,0
Commercial,95,44.73,Small,18,Medium,Rainy,0,0
Residential,512,116.01,Medium,54,High,Clear,0,0
Infrastructure,392,359.6,Large,175,High,Clear,0,0
Residential,536,54.21,Medium,67,High,Clear,0,0
Residential,346,99.45,Medium,53,High,Clear,0,0
Commercial,362,257.37,Large,69,Medium,Rainy,0,0
Residential,370,96.88,Medium,54,Medium,Clear,1,163
Industrial,267,440.48,Large,134,Medium,Rainy,0,0
Industrial,165,232.66,Large,70,Medium,Clear,0,0
Industrial,505,321.04,Large,144,Medium,Rainy,1,199
Residential,217,39.02,Small,17,High,Monsoon,1,42
Residential,180,44.03,Small,11,High,Rainy,1,74
Industrial,114,98.55,Medium,74,Medium,Monsoon,1,29
Commercial,459,295.46,Large,140,Medium,Monsoon,0,0
Industrial,71,37.76,Small,6,High,Clear,1,16
Industrial,204,183.19,Medium,31,High,Rainy,1,85
Infrastructure,459,795.69,Large,101,High,Monsoon,1,157
Residential,455,103.02,Medium,37,Medium,Clear,1,67
Residential,195,42.0,Small,15,High,Clear,0,0
Infrastructure,527,1046.72,Large,75,Medium,Monsoon,0,0
Residential,62,6.28,Small,21,Low,Rainy,1,17
Residential,203,24.4,Small,23,High,Clear,0,0
Commercial,89,65.37,Medium,37,Low,Clear,0,0
Industrial,296,410.34,Large,158,Medium,Rainy,1,104
Commercial,338,120.49,Medium,72,Medium,Clear,0,0
Commercial,407,293.46,Large,118,Medium,Rainy,1,65
Residential,174,25.83,Small,20,Medium,Rainy,0,0
Commercial,163,87.88,Medium,25,Medium,Rainy,1,49
Industrial,177,121.91,Medium,63,High,Clear,0,0
Residential,64,15.49,Small,15,High,Rainy,0,0
Commercial,527,333.82,Large,106,High,Rainy,1,180
Infrastructure,419,485.58,Large,170,High,Rainy,0,0
Infrastructure,307,696.21,Large,107,High,Clear,0,0
Commercial,423,211.78,Large,101,High,Clear,0,0
Infrastructure,380,492.96,Large,135,High,Monsoon,1,100
Residential,180,23.48,Small,17,Medium,Clear,0,0
Residential,345,52.87,Medium,23,Low,Clear,1,147
Infrastructure,208,174.19,Medium,58,Low,Clear,0,0
Infrastructure,143,256.19,Large,177,Medium,Monsoon,1,70
Infrastructure,513,1144.91,Large,61,Medium,Clear,1,136
Industrial,465,564.36,Large,149,Low,Clear,1,136
Commercial,525,215.06,Large,118,High,Clear,0,0
Commercial,515,163.17,Medium,46,High,Rainy,1,96
Infrastructure,290,337.81,Large,86,Low,Clear,1,112
Commercial,347,176.3,Medium,34,Medium,Clear,1,141
Infrastructure,220,460.09,Large,131,Medium,Clear,0,0
Infrastructure,331,370.5,Large,66,High,Monsoon,1,84
Infrastructure,519,1050.27,Large,122,High,Clear,1,123
Residential,97,26.52,Small,19,Low,Clear,0,0
Residential,285,54.37,Medium,74,Medium,Clear,1,69
Residential,201,53.12,Medium,65,High,Monsoon,1,71
Commercial,351,202.64,Large,122,High,Rainy,0,0
Residential,210,47.76,Small,12,Medium,Monsoon,1,45
Commercial,173,97.42,Medium,31,Medium,Monsoon,0,0
Commercial,296,157.35,Medium,32,High,Clear,0,0
Residential,125,18.37,Small,15,Low,Rainy,1,60
Commercial,420,189.67,Medium,36,High,Clear,0,0
Residential,400,63.2,Medium,36,High,Rainy,1,81
Residential,317,67.41,Medium,55,Medium,Clear,0,0
Infrastructure,534,536.09,Large,144,High,Clear,0,0
Residential,308,87.27,Medium,27,Low,Monsoon,1,154
Residential,516,125.97,Medium,24,Medium,Clear,1,144
Commercial,508,254.37,Large,149,Medium,Monsoon,0,0
Infrastructure,390,417.17,Large,139,High,Clear,0,0
Residential,382,105.58,Medium,55,High,Clear,0,0
Commercial,239,170.14,Medium,47,High,Monsoon,1,87
Residential,249,60.84,Medium,73,Medium,Rainy,0,0
Residential,466,71.91,Medium,48,Medium,Rainy,1,75
Commercial,213,106.76,Medium,66,Low,Clear,0,0
Commercial,255,89.6,Medium,31,Medium,Clear,1,91
Commercial,525,207.12,Large,160,Low,Rainy,1,108
Infrastructure,370,788.52,Large,89,Medium,Rainy,1,51
Industrial,321,458.89,Large,82,High,Clear,1,93
Commercial,478,285.24,Large,75,High,Monsoon,1,199
Residential,465,129.8,Medium,33,Medium,Rainy,1,54
Infrastructure,486,870.69,Large,133,High,Monsoon,1,72
Residential,202,39.07,Small,11,High,Rainy,0,0
Commercial,401,188.54,Medium,64,Medium,Rainy,0,0
Residential,375,108.03,Medium,71,Low,Clear,1,178
Residential,160,18.65,Small,9,High,Clear,1,61
Industrial,303,518.18,Large,88,Medium,Monsoon,1,67
Infrastructure,71,156.58,Medium,22,Low,Clear,1,27
Commercial,298,108.76,Medium,34,Medium,Clear,0,0
Commercial,108,62.91,Medium,55,High,Clear,0,0
Residential,101,27.6,Small,19,High,Clear,1,25
Residential,225,48.23,Small,18,Medium,Monsoon,0,0
Residential,141,39.68,Small,24,Medium,Monsoon,0,0
Commercial,488,376.49,Large,78,Low,Clear,1,196
Infrastructure,350,531.32,Large,136,Medium,Clear,0,0
Commercial,217,106.04,Medium,61,High,Rainy,0,0
Residential,275,79.0,Medium,40,High,Rainy,0,0
Industrial,217,298.96,Large,123,Medium,Monsoon,1,104
Infrastructure,521,519.56,Large,96,High,Rainy,0,0
Commercial,193,61.98,Medium,46,High,Clear,1,24
Commercial,126,73.37,Medium,74,Medium,Clear,0,0
Commercial,395,302.21,Large,175,High,Monsoon,1,176
Residential,66,17.74,Small,24,High,Rainy,1,17
Residential,495,116.41,Medium,44,High,Rainy,0,0
Infrastructure,73,75.66,Medium,25,High,Clear,0,0
Residential,132,19.91,Small,8,High,Rainy,1,39
Residential,458,126.0,Medium,21,Medium,Rainy,1,150
Residential,464,63.36,Medium,41,Low,Clear,0,0
Residential,222,34.56,Small,20,High,Clear,0,0
Infrastructure,125,127.54,Medium,37,Medium,Clear,0,0
Infrastructure,406,791.45,Large,128,High,Clear,0,0
Commercial,189,145.91,Medium,73,Medium,Clear,1,79
Residential,478,73.51,Medium,55,Low,Clear,0,0
Commercial,525,282.29,Large,89,Medium,Rainy,0,0
Commercial,265,163.55,Medium,64,Low,Clear,0,0
Residential,335,100.46,Medium,38,High,Clear,0,0
Commercial,525,185.01,Medium,42,High,Monsoon,0,0
Residential,315,62.91,Medium,53,Low,Rainy,1,47
Commercial,325,160.08,Medium,32,High,Rainy,0,0
Commercial,84,61.56,Medium,62,High,Clear,0,0
Residential,509,99.35,Medium,73,Medium,Rainy,1,56
Residential,340,41.55,Small,8,Low,Clear,1,69
Commercial,312,192.57,Medium,41,Low,Rainy,1,173
Commercial,369,252.91,Large,111,High,Clear,0,0
Infrastructure,348,280.1,Large,111,Low,Rainy,1,152
Commercial,223,162.67,Medium,66,High,Clear,0,0
Residential,154,21.13,Small,8,High,Rainy,0,0
Residential,329,69.23,Medium,28,Medium,Clear,0,0
Commercial,380,193.0,Medium,58,High,Clear,0,0
Residential,169,41.22,Small,23,High,Clear,0,0
Commercial,395,191.8,Medium,38,Medium,Rainy,1,124
Industrial,369,601.73,Large,97,High,Monsoon,1,51
Commercial,297,197.58,Medium,25,High,Rainy,1,121
Residential,440,101.0,Medium,71,High,Clear,0,0
Commercial,495,345.57,Large,170,Medium,Clear,0,0
Commercial,446,301.95,Large,138,Medium,Monsoon,0,0
Commercial,484,153.9,Medium,39,Medium,Clear,1,186
Industrial,449,454.91,Large,68,Medium,Rainy,1,149
Residential,84,24.04,Small,8,Medium,Monsoon,0,0
Industrial,200,132.69,Medium,69,Low,Monsoon,1,63
Industrial,176,256.65,Large,141,High,Clear,1,21
Residential,451,133.01,Medium,24,High,Clear,0,0
Residential,464,51.24,Medium,39,Low,Clear,1,175
Residential,511,120.82,Medium,42,High,Rainy,0,0
Residential,84,16.26,Small,15,Low,Clear,1,36
Residential,138,29.79,Small,9,Medium,Clear,0,0
Commercial,127,43.52,Small,8,Medium,Clear,0,0
Residential,232,25.2,Small,16,High,Clear,0,0
Residential,503,117.39,Medium,53,High,Rainy,0,0
Infrastructure,71,156.17,Medium,32,High,Rainy,1,10
Residential,347,88.97,Medium,61,Medium,Clear,0,0
Infrastructure,187,322.48,Large,68,Medium,Clear,1,60
Residential,155,18.6,Small,14,Low,Monsoon,0,0
Residential,151,35.88,Small,11,High,Clear,0,0
Commercial,200,84.19,Medium,23,High,Rainy,1,40
Commercial,90,68.0,Medium,38,High,Monsoon,0,0
Infrastructure,393,874.45,Large,165,Medium,Clear,1,144
Infrastructure,79,158.47,Medium,49,Low,Rainy,1,28
Infrastructure,205,494.67,Large,90,High,Monsoon,1,35
Residential,536,56.97,Medium,54,Medium,Clear,0,0
Residential,375,92.72,Medium,40,High,Clear,1,106
Infrastructure,506,688.87,Large,120,Medium,Clear,0,0
Infrastructure,449,1050.8,Large,90,Low,Clear,0,0
Industrial,219,185.42,Medium,38,High,Rainy,1,52
Commercial,408,270.27,Large,154,High,Monsoon,0,0
Residential,102,28.1,Small,6,Low,Rainy,1,20
Infrastructure,313,272.57,Large,118,Low,Clear,1,154
Residential,189,33.93,Small,24,Medium,Clear,0,0
Industrial,119,177.43,Medium,29,Medium,Rainy,1,12
Infrastructure,210,330.41,Large,61,High,Clear,1,43
Commercial,526,228.09,Large,125,Medium,Rainy,0,0
Infrastructure,346,406.09,Large,119,Low,Clear,1,45
Infrastructure,64,65.51,Medium,43,Medium,Rainy,0,0
Residential,526,142.77,Medium,36,High,Rainy,0,0
Industrial,477,595.28,Large,155,High,Clear,0,0
Commercial,325,109.91,Medium,35,High,Clear,0,0
Infrastructure,404,585.96,Large,75,High,Clear,0,0
Residential,189,32.8,Small,18,High,Clear,1,25
Infrastructure,441,489.05,Large,98,High,Rainy,0,0
Residential,326,61.0,Medium,72,High,Rainy,1,66
Residential,237,39.44,Small,15,High,Rainy,0,0
Industrial,312,294.64,Large,147,Medium,Monsoon,1,44
Residential,474,117.46,Medium,20,High,Clear,0,0
Residential,115,16.64,Small,15,High,Clear,0,0
Industrial,522,696.57,Large,178,High,Clear,0,0
Industrial,516,640.79,Large,144,High,Rainy,1,159
Commercial,530,309.54,Large,63,Medium,Clear,1,69
Commercial,142,89.67,Medium,26,High,Rainy,0,0
Commercial,452,259.53,Large,85,Medium,Clear,0,0
Residential,158,43.58,Small,19,Low,Monsoon,1,79
Residential,208,48.9,Small,22,Medium,Monsoon,0,0
Commercial,388,222.51,Large,71,Medium,Clear,0,0
Infrastructure,215,475.28,Large,154,Low,Clear,1,31
Infrastructure,249,455.78,Large,140,Medium,Rainy,1,30
Infrastructure,430,556.83,Large,156,High,Clear,0,0
Residential,322,45.54,Small,15,High,Clear,0,0
Commercial,139,52.29,Medium,47,Low,Rainy,0,0
Residential,459,128.47,Medium,51,High,Clear,0,0
Commercial,311,203.73,Large,124,High,Rainy,0,0
Commercial,156,119.92,Medium,66,Medium,Rainy,0,0
Infrastructure,319,582.37,Large,151,Low,Clear,1,82
Residential,319,62.1,Medium,72,High,Clear,0,0
Residential,162,18.13,Small,14,Medium,Clear,0,0
Residential,99,23.2,Small,11,High,Rainy,0,0
Infrastructure,332,594.2,Large,61,Medium,Clear,0,0
Commercial,160,127.22,Medium,61,High,Monsoon,0,0
Residential,418,61.79,Medium,43,High,Clear,0,0
Residential,439,90.5,Medium,23,Low,Clear,1,227
Infrastructure,367,699.73,Large,167,Medium,Clear,1,119
Residential,280,64.1,Medium,38,Medium,Clear,1,103
Infrastructure,367,643.79,Large,85,High,Clear,1,54
Infrastructure,479,1015.85,Large,134,High,Rainy,0,0
Residential,183,25.8,Small,12,Medium,Clear,0,0
Residential,481,117.91,Medium,69,High,Clear,1,188
Industrial,290,378.64,Large,102,High,Clear,1,29
Residential,237,66.17,Medium,30,High,Rainy,1,41
Residential,122,32.87,Small,17,Medium,Rainy,0,0
Infrastructure,175,233.76,Large,126,Low,Clear,1,69
Industrial,250,214.78,Large,71,Low,Rainy,1,72
Industrial,121,214.91,Large,126,Medium,Clear,0,0
Infrastructure,315,534.35,Large,165,High,Rainy,0,0
Residential,66,18.56,Small,21,High,Clear,0,0
Residential,214,28.41,Small,6,Low,Clear,1,118
Infrastructure,151,285.81,Large,108,High,Monsoon,0,0
Commercial,529,372.91,Large,75,Low,Clear,1,73
Commercial,73,56.48,Medium,21,High,Rainy,1,32
Industrial,514,482.41,Large,119,Low,Clear,1,204
Residential,288,70.56,Medium,73,Low,Rainy,0,0
Commercial,145,82.56,Medium,49,Low,Monsoon,1,62
Residential,192,21.53,Small,24,High,Clear,0,0
Commercial,242,156.09,Medium,57,High,Monsoon,1,35
Residential,445,105.92,Medium,47,High,Rainy,1,87
Residential,121,34.62,Small,14,High,Rainy,1,51
Residential,278,55.45,Medium,61,High,Clear,0,0
Commercial,464,192.62,Medium,59,Medium,Monsoon,1,124
Infrastructure,305,267.11,Large,156,High,Clear,0,0
Commercial,289,146.76,Medium,32,Medium,Clear,1,95
Industrial,138,123.16,Medium,60,Medium,Monsoon,1,74
Residential,208,52.46,Medium,73,High,Rainy,0,0
Residential,197,33.66,Small,14,Low,Clear,1,47
Infrastructure,530,1279.11,Large,106,High,Clear,1,159
Residential,373,109.09,Medium,56,High,Clear,1,128
Industrial,435,568.62,Large,177,Medium,Clear,1,68
Residential,482,137.72,Medium,35,Low,Clear,1,91
Industrial,448,667.12,Large,168,High,Rainy,1,116
Residential,124,25.96,Small,24,High,Clear,0,0
Infrastructure,72,79.67,Medium,69,Medium,Rainy,1,16
Commercial,272,143.97,Medium,62,High,Rainy,0,0
Industrial,533,655.13,Large,86,Medium,Clear,1,186
Residential,301,82.11,Medium,60,Low,Clear,0,0
Commercial,272,147.06,Medium,35,Low,Clear,1,42
Industrial,240,400.07,Large,93,High,Clear,1,105
Commercial,397,252.96,Large,91,High,Rainy,1,41
Commercial,232,85.49,Medium,45,High,Clear,0,0
Commercial,219,174.65,Medium,44,High,Rainy,1,67
Commercial,223,125.69,Medium,21,High,Clear,0,0
Commercial,524,259.87,Large,71,High,Clear,1,155
Commercial,247,155.5,Medium,59,Low,Clear,1,45
Industrial,454,291.27,Large,132,Low,Clear,0,0
Residential,250,56.83,Medium,31,High,Clear,0,0
Residential,464,92.64,Medium,45,High,Clear,0,0
Industrial,367,377.52,Large,132,High,Monsoon,0,0
Infrastructure,315,762.34,Large,69,High,Rainy,1,48
Commercial,242,135.83,Medium,51,Medium,Clear,1,91
Commercial,176,72.08,Medium,53,Medium,Clear,0,0
Residential,341,65.4,Medium,67,Low,Clear,1,175
Residential,255,72.39,Medium,39,Medium,Clear,1,50
Commercial,93,36.09,Small,11,Medium,Clear,1,23
Residential,111,15.85,Small,6,Medium,Clear,1,24
